status,destination,old_sha256,new_sha256,reason
removed,config/ftbquests/quests/RESEARCH-SOURCES.txt,52445e06464d1e1e653a4b4250113c8b3373655935a0f831e1c80edab0e2f507,,Historical maintainer note removed from player delivery
removed,config/ftbquests/quests/STAGING-NOTES.txt,6f671c1aab03b466026188e80307f2ee0718eb768d8925e873ec6f4c8bf7da8f,,Historical maintainer note removed from player delivery
replaced,config/ftbquests/quests/chapter_groups.snbt,b86fec82a184efa153c82facbe651c56a336db567a12c7ada8c05a8fa4d2eb4b,b7da2cffbd510112fa9ad023f6ed24ca1963bcea02e03e7b362190767af4c1c3,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/aether.snbt,920aa2a546907e944a9f1c2fd8ebfad77750a6265774aaf35c1af5dc580e3387,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/alex_caves.snbt,57b58e7bda90a58369fe47bfc613e7f390fb448fe54756bac2605fd50b11aad6,,Legacy chapter merged into the 10-chapter guide
replaced,config/ftbquests/quests/chapters/archaeology.snbt,1173b3afdcd6e6562d771b4a11bc2cc3f1231466c4be7909678ceadb946a5cc0,2131bb7f0c0dc16b2ea38b4f9edad5d495c95203a37aa05230893a65895fc6e4,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/building.snbt,a75d21a3c3c4248161cb55c5979d129e39be3c65ee0c1b7639f429cf8d132ddb,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/combat_enchanting.snbt,3e9300f78c4d0dffe9c2823a3c5ef7569221151e6a2be5d7406eb465b6a117fb,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/create_addons.snbt,f88b5512ca204757de89b32f93351a5900574ce5df892f46717d7f817f11eb79,,Legacy chapter merged into the 10-chapter guide
replaced,config/ftbquests/quests/chapters/create_basics.snbt,a80289d08d644035f0e87ec5c45fe44b7900b8085699a1332b9c75d2dfe0a8e0,9482c96d3d37347c19f2bdea59d997fd00cc86de94111bb0296f24d6dc32da76,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/create_factory.snbt,a82a83b0b1259e082e1c4432b247cd28d78ca5e9ff2794b10f71a9356a8fb501,,Legacy chapter merged into the 10-chapter guide
