"Path","Classification","Reason"
"config/chunky/tasks/minecraft/overworld.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/connector.json","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/continuity.json","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/DistantHorizons.toml","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/embeddium-options.json","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/entity_model_features.json","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/fabric/indigo-renderer.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jade/plugins.json","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jade/sort-order.json","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/ingredient-list-mod-sort-order.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/ingredient-list-type-sort-order.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/jei-client.ini","uncertain/server-only source","Left untouched rather than packaging a server-only residual file without confidence."
"config/jei/jei-client.pre-15.49.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/recipe-category-sort-order.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Congratulations_you_made_it_c5ff6aaf/bookmarks.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Congratulations_you_made_it_c5ff6aaf/lookupHistory.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Jack_s_Premium_Server_b8332793/lookupHistory.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_4bbb2820/bookmarks.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_4bbb2820/lookupHistory.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_b8332793/bookmarks.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_b8332793/lookupHistory.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_bda57454/bookmarks.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/jei/world/server/Minecraft_Server_bda57454/lookupHistory.ini","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/oculus.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/prehistoricfauna-client.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/sidebar_buttons.json","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/sodiumdynamiclights-client.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/sound_physics_remastered/occlusion.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/sound_physics_remastered/reflectivity.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/sound_physics_remastered/sound_rates.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/sound_physics_remastered/soundphysics.properties","personal/generated","Not Packwiz-managed; protects player choices or generated state."
"config/the_bumblezone/bee_aggression.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/the_bumblezone/client.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/the_bumblezone/dimension.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/the_bumblezone/general.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/the_bumblezone/mod_compatibility.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/the_bumblezone/worldgen.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
"config/treasure2-client.toml","uncertain/stale","Left untouched because the owning mod is absent or classification is not reliable."
