"Filename","Name","Side","Sha512","Source","Confidence"
"AdvancementPlaques-1.20.1-forge-1.6.9.jar","Advancement Plaques [Neo/Forge]","client","20053af7b38b6d25c18c73608f5437f7298c2cf9310c0f71933c02224bf903b18ae61c9959753d834e2c9687b6b57175bfe01f3a3c96bcc599714a4f5155b492","https://cdn.modrinth.com/data/9NM0dXub/versions/xqigG9AR/AdvancementPlaques-1.20.1-forge-1.6.9.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"aether-1.20.1-1.5.2-neoforge.jar","aether-1.20.1-1.5.2-neoforge","both","60b23e439b244645eafda5f3ddd620ac37e94bd75441d2deea9c328e1e154362f48b08aff1959849a7428ae7664422723fdbdb12aaeddfd56409ba4b54a7eaaf","https://cdn.modrinth.com/data/YhmgMVyu/versions/2411kUqF/aether-1.20.1-1.5.2-neoforge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"aethersdelight-0.1.3.1-1.20.1.jar","aethersdelight-0.1.3.1-1.20.1","both","102f3a299b4ab92a6bb29908b9d6fecc7576cfa4cabbfcf795ebe001a1a0d4ee55025216753f31cb842ae350e0c21d23342b1e262e66d8fd7d9ed4168a8fafa6","https://cdn.modrinth.com/data/XUztKPS9/versions/IMQRjMr0/aethersdelight-0.1.3.1-1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"AI-Improvements-1.20-0.5.2.jar","AI Improvements","both","eb932308aceb30f5157e967f1bd4b57eb1a1b2093886cbfaef6524b780337b8b0e2bd41c5103694c3a275827ceb7d63e7c55637a7a46f8e21f0a6770346b757d","https://cdn.modrinth.com/data/DSVgwcji/versions/eJihmpNQ/AI-Improvements-1.20-0.5.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"alexs_caves_delight-1.0.0-forge-1.20.1.jar","alexs caves Delight ( Farmer","both","72959764c431fb68d2bcd8db17af6c889571f3d138c52632a2fc23c1bdfc8f28fbc20f8b9768bb4ab1c434009093bab10695d3cda8a436779e3c7f6184b271db","https://cdn.modrinth.com/data/xAxyIEYU/versions/dK6AGAz9/alexs_caves_delight-1.0.0-forge-1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"alexscaves-2.0.2.jar","Alex","both","d23092cf507f4cf66ead45d7b393393ea83a9002056962ee6c341e91323ae39e10f2aefbbbc9f5e54409eb3ee522ad0c2dd5661077b09f1e37d034cfdd4333a0","https://cdn.modrinth.com/data/U6GY0xp0/versions/lC8HHXOF/alexscaves-2.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"alexsmobs-1.22.9.jar","Alex","both","b50280057926d750f9ffbf6a8df36deb37529356895f6bf59f25d272ecf69afccec65ec1a5c3a8bfad24f9475c15b93c5ec4666447b1fce26a90c41445bbfb04","https://cdn.modrinth.com/data/2cMuAZAp/versions/XoIASRVU/alexsmobs-1.22.9.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"almanac-1.20.x-forge-1.0.2.jar","Almanac Lib","both","58c4dea50fcb17593e2c97a23ce101c62b5b32e2fd71d4bbf323f2778d4474c991caba7234ecf4d06f1e246ccb9ad7f67f2fa73f023cd80ef55333e2ed952f43","https://cdn.modrinth.com/data/Gi02250Z/versions/DnzrwvfD/almanac-1.20.x-forge-1.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"alternate_current-mc1.20-1.7.0.jar","Alternate Current","server","d9ae21a3a389c63466bf22b36d4a78c859f30c901397622f1f1438737901a2c67e4d911c83831e0d4f1edabf0b86b58f4192d9980ecef8278393fd4af64a9585","https://cdn.modrinth.com/data/r0v8vy1s/versions/kC6SY4Zp/alternate_current-mc1.20-1.7.0.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"ambientadditions-1.20.1-1.1.2.jar","Ambient Additions","both","f023faa63d1aac7bf37e7d6394bbe3791dcb23731091a8af036297e9c39ee9857dca9428cb2ccd722d5ff27cbbfb9fd954fad5593131df88cd75216c576c4ecb","https://cdn.modrinth.com/data/EdXRAo60/versions/3EGLyzXD/ambientadditions-1.20.1-1.1.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
