"scope","status","path","notes"
"sanitized-publication-delta","M","README.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/destination-delta.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/encoding-validation.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/end-to-end-result.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/local-rc-test.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/managed-files.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/packwiz-update-rollback.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/quest-id-migration.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/quest-id-semantics.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/quest-mods.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/questbook-validation-detailed.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/questbook-validation.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/quests.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/rc-lan-harness.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/rc1-change-manifest.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/release-gate.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/repository-files.csv","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/runtime-data-errors-v1.1.0-rc1.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/summary.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","audit/synthetic-progress-migration.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","audit/validation-report.json","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","bootstrap/template/instance.cfg","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","docs/COPIED-WORLD-RC-TEST.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","docs/FILE-CLASSIFICATION.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","docs/MANUAL-RC-TEST.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","docs/OPERATIONS.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","docs/QUEST-PROGRESSION.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","docs/QUESTBOOK.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","docs/RELEASE-GATE.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","A","docs/SECURITY-SANITIZATION.md","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/#STOP_MOD_REPOSTS.txt.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/MouseTweaks.cfg.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/aether/aether_customizations.txt.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/abyssal_chasm.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/candy_cavity.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/forlorn_hollows.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/magnetic_caves.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/primordial_caves.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexscaves_biome_generation/toxic_caves.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/alligator_snapping_turtle_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/anaconda_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/anteater_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/bald_eagle_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/banana_slug_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/bison_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/blobfish_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/blue_jay_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/bone_serpent_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/bunfungus_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/cachalot_whale_beached_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/cachalot_whale_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/caiman_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/capuchin_monkey_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/catfish_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/cave_centipede_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/cockroach_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/comb_jelly_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
"sanitized-publication-delta","M","packwiz/config/alexsmobs/cosmaw_spawns.json.pw.toml","Candidate tree versus sanitized recovery baseline."
